City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
501,Souillac,MU,75.58,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
512,Diamantino,BR,77.04,overcast clouds,-14.4086,-56.4461,Hotel Delta
516,Chimbote,PE,73.49,broken clouds,-9.0853,-78.5783,Hotel Briliá
518,Mora,CM,75.25,few clouds,11.0461,14.1401,Hotel Emergence
519,Karauli,IN,79.23,clear sky,26.5,77.0167,Bhanwar Vilas Palace
524,Geraldton,AU,73.81,light rain,-28.7667,114.6,Broadwater Mariner Resort
525,Praia,CV,70.48,broken clouds,14.9215,-23.5087,LT Aparthotel
533,Basco,PH,78.35,scattered clouds,20.4487,121.9702,Nathaniel's Lodge
538,Davila,PH,79.34,clear sky,18.4726,120.5763,Blue Ridge Beach Resort
541,Mae Sot,TH,72.36,few clouds,16.7167,98.5667,Suan Darb Porn Resort (บ้านสวนดาบพรรีสอร์ท)
559,Nabire,ID,75.7,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
563,Luwuk,ID,77.92,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
564,Gombong,ID,75.6,overcast clouds,-7.6072,109.5142,Grafika Hotel Dan Restoran
566,Taganak,PH,79.39,overcast clouds,6.0833,118.3,Taganak
576,Lodja,CD,70.2,overcast clouds,-3.4833,23.4333, 
578,Biak,ID,76.64,overcast clouds,-0.9131,122.8766,Penginapan Kim
584,Krabi,TH,78.98,scattered clouds,8.0726,98.9105,Tharapark View Hotel
588,Hirara,JP,70.07,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
600,Vao,NC,77.56,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
602,Praya,CV,70.34,scattered clouds,14.9215,-23.5087,LT Aparthotel
603,Borba,BR,76.26,overcast clouds,-4.3878,-59.5939,Hotel da Amazônia
608,Miles City,US,74.7,overcast clouds,46.4083,-105.8406,FairBridge Inn & Suites Miles City
610,Bilma,NE,73.71,clear sky,18.6853,12.9164,Expeditions Ténére voyages
612,Sampit,ID,73.29,scattered clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
614,Jardim,BR,79.86,broken clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
618,Turbat,PK,78.39,clear sky,26.0023,63.044,Mubashar Quarters
620,Charters Towers,AU,76.23,scattered clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
622,Mancio Lima,BR,76.51,overcast clouds,-7.6142,-72.8958,Motel Asas Do Desejo
624,Pucallpa,PE,78.28,overcast clouds,-8.3791,-74.5539,Hotel Sol de Oriente - Pucallpa
626,Bontang,ID,75.18,broken clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
630,Bartica,GY,76.89,overcast clouds,6.4,-58.6167,Sloth Island Nature Resort
632,Paragominas,BR,74.37,moderate rain,-2.9667,-47.4833,INOVA
635,Iquitos,PE,71.62,overcast clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
